"municipality","department","file","size_kb"
"Baures","Beni","output/locator_maps/workbench/Baures_muni_locator_map.svg",2837.4
"Exaltación","Beni","output/locator_maps/workbench/Exaltacion_muni_locator_map.svg",2837.4
"Guayaramerín","Beni","output/locator_maps/workbench/Guayaramerin_muni_locator_map.svg",2837.4
"Huacaraje","Beni","output/locator_maps/workbench/Huacaraje_muni_locator_map.svg",2837.4
"Loreto","Beni","output/locator_maps/workbench/Loreto_muni_locator_map.svg",2837.4
"Magdalena","Beni","output/locator_maps/workbench/Magdalena_muni_locator_map.svg",2837.4
"Puerto Menor de Rurrenabaque","Beni","output/locator_maps/workbench/Puerto_Menor_de_Rurrenabaque_muni_locator_map.svg",2837.4
"Puerto Siles","Beni","output/locator_maps/workbench/Puerto_Siles_muni_locator_map.svg",2837.4
"Reyes","Beni","output/locator_maps/workbench/Reyes_muni_locator_map.svg",2837.4
"Riberalta","Beni","output/locator_maps/workbench/Riberalta_muni_locator_map.svg",2837.4
"San Andrés","Beni","output/locator_maps/workbench/San_Andres_muni_locator_map.svg",2837.4
"San Borja","Beni","output/locator_maps/workbench/San_Borja_muni_locator_map.svg",2837.4
"San Ignacio","Beni","output/locator_maps/workbench/San_Ignacio__Beni__muni_locator_map.svg",2837.4
"San Javier","Beni","output/locator_maps/workbench/San_Javier__Beni__muni_locator_map.svg",2837.4
"San Joaquín","Beni","output/locator_maps/workbench/San_Joaquin_muni_locator_map.svg",2837.4
"San Ramón","Beni","output/locator_maps/workbench/San_Ramon__Beni__muni_locator_map.svg",2837.4
"Santa Ana","Beni","output/locator_maps/workbench/Santa_Ana_muni_locator_map.svg",2837.4
"Santa Rosa","Beni","output/locator_maps/workbench/Santa_Rosa__Beni__muni_locator_map.svg",2837.4
"Trinidad","Beni","output/locator_maps/workbench/Trinidad_muni_locator_map.svg",2837.4
"Alcalá","Chuquisaca","output/locator_maps/workbench/Alcala_muni_locator_map.svg",2837.4
"Azurduy","Chuquisaca","output/locator_maps/workbench/Azurduy_muni_locator_map.svg",2837.4
"Camargo","Chuquisaca","output/locator_maps/workbench/Camargo_muni_locator_map.svg",2837.4
"Culpina","Chuquisaca","output/locator_maps/workbench/Culpina_muni_locator_map.svg",2837.4
"El Villar","Chuquisaca","output/locator_maps/workbench/El_Villar_muni_locator_map.svg",2837.4
"Huacareta","Chuquisaca","output/locator_maps/workbench/Huacareta_muni_locator_map.svg",2837.4
"Huacaya","Chuquisaca","output/locator_maps/workbench/Huacaya_muni_locator_map.svg",2837.4
"Incahuasi","Chuquisaca","output/locator_maps/workbench/Incahuasi_muni_locator_map.svg",2837.4
"Las Carreras","Chuquisaca","output/locator_maps/workbench/Las_Carreras_muni_locator_map.svg",2837.4
"Macharetí","Chuquisaca","output/locator_maps/workbench/Machareti_muni_locator_map.svg",2837.4
"Mojocoya","Chuquisaca","output/locator_maps/workbench/Mojocoya_muni_locator_map.svg",2837.4
"Monteagudo","Chuquisaca","output/locator_maps/workbench/Monteagudo_muni_locator_map.svg",2837.4
"Padilla","Chuquisaca","output/locator_maps/workbench/Padilla_muni_locator_map.svg",2837.4
"Poroma","Chuquisaca","output/locator_maps/workbench/Poroma_muni_locator_map.svg",2837.4
"Presto","Chuquisaca","output/locator_maps/workbench/Presto_muni_locator_map.svg",2837.4
"San Lucas","Chuquisaca","output/locator_maps/workbench/San_Lucas_muni_locator_map.svg",2837.4
"Sopachui","Chuquisaca","output/locator_maps/workbench/Sopachui_muni_locator_map.svg",2837.4
"Sucre","Chuquisaca","output/locator_maps/workbench/Sucre_muni_locator_map.svg",2837.4
"Tarabuco","Chuquisaca","output/locator_maps/workbench/Tarabuco_muni_locator_map.svg",2837.4
"Tarvita","Chuquisaca","output/locator_maps/workbench/Tarvita_muni_locator_map.svg",2837.4
"Tomina","Chuquisaca","output/locator_maps/workbench/Tomina_muni_locator_map.svg",2837.4
"Villa Abecia","Chuquisaca","output/locator_maps/workbench/Villa_Abecia_muni_locator_map.svg",2837.4
"Villa Charcas","Chuquisaca","output/locator_maps/workbench/Villa_Charcas_muni_locator_map.svg",2837.4
"Villa Ricardo Mugia - Icla","Chuquisaca","output/locator_maps/workbench/Villa_Ricardo_Mugia_-_Icla_muni_locator_map.svg",2837.4
"Villa Serrano","Chuquisaca","output/locator_maps/workbench/Villa_Serrano_muni_locator_map.svg",2837.4
"Villa Vaca Guzmán","Chuquisaca","output/locator_maps/workbench/Villa_Vaca_Guzman_muni_locator_map.svg",2837.4
"Yamparáez","Chuquisaca","output/locator_maps/workbench/Yamparaez_muni_locator_map.svg",2837.4
